user_id,timestamp,user_message,intent
user_37,2026-01-02 15:16:37.287351,what are the features of this laptop?,Product_Inquiry
user_48,2025-12-29 17:47:14.287373,talk to human agent,Customer_Service_Contact
user_47,2026-01-14 10:47:47.287383,money back please,Refund_Request
user_3,2026-01-08 06:25:08.287389,kindle not syncing,Technical_Issue
user_24,2026-01-06 01:27:04.287396,change my password,Account_Assistance
user_17,2026-01-07 16:31:07.287402,how to change my address?,Account_Assistance
user_37,2026-01-11 20:25:52.287469,can't log into my account,Account_Assistance
user_45,2025-12-30 22:13:49.287476,account suspended,Account_Assistance
user_24,2026-01-04 01:55:44.287482,talk to human agent,Customer_Service_Contact
user_2,2025-12-21 23:43:18.287488,rate my experience,Feedback
user_2,2026-01-17 17:13:56.287494,return item,Refund_Request
user_32,2026-01-01 01:26:36.287500,talk to human agent,Customer_Service_Contact
user_43,2026-01-02 23:37:07.287506,order arrived yet?,Check_Order
user_19,2026-01-08 14:40:39.287512,compatibility questions,Product_Inquiry
user_6,2026-01-08 15:20:37.287518,speak to a representative,Customer_Service_Contact
user_7,2026-01-06 21:33:13.287524,hello,Greeting
user_37,2026-01-13 10:24:31.287530,status of order #123,Check_Order
user_35,2025-12-21 08:55:33.287536,asdfghjkl,Fallback
user_32,2026-01-10 14:51:03.287542,feedback about your service,Feedback
user_40,2026-01-10 22:57:41.287548,feedback about your service,Feedback
user_32,2025-12-25 21:21:47.287554,prime video not working,Technical_Issue
user_24,2025-12-30 04:32:24.287560,hello,Greeting
user_32,2025-12-25 01:11:52.287566,good morning,Greeting
user_14,2025-12-23 00:26:29.287572,manage my subscriptions,Account_Assistance
user_32,2026-01-11 22:32:25.287578,defective item,Refund_Request
user_22,2026-01-10 16:47:37.287584,account suspended,Account_Assistance
user_46,2026-01-03 14:44:47.287590,money back please,Refund_Request
user_31,2026-01-01 00:05:59.287596,I don't understand,Fallback
user_7,2026-01-16 00:50:51.287602,shipping update,Check_Order
user_49,2026-01-04 10:39:18.287608,talk to human agent,Customer_Service_Contact
user_21,2026-01-08 17:08:35.287614,shipping update,Check_Order
user_26,2026-01-13 13:24:06.287621,hey there,Greeting
user_13,2026-01-13 18:00:04.287626,manage my subscriptions,Account_Assistance
user_40,2026-01-17 12:27:14.287632,hello,Greeting
user_2,2025-12-26 22:04:20.287638,login failed,Technical_Issue
user_35,2026-01-09 17:32:34.287644,error 404,Technical_Issue
user_27,2025-12-27 16:45:29.287650,hello,Greeting
user_50,2025-12-26 09:36:07.287656,feedback about your service,Feedback
user_1,2025-12-23 12:39:26.287662,error 404,Technical_Issue
user_32,2026-01-09 17:00:35.287668,connect me to support,Customer_Service_Contact
user_48,2025-12-25 10:16:40.287674,cannot access my account,Technical_Issue
user_48,2025-12-24 09:18:19.287680,I don't understand,Fallback
user_1,2025-12-22 22:22:34.287685,tell me about product X,Product_Inquiry
user_5,2026-01-01 04:41:58.287691,speak to a representative,Customer_Service_Contact
user_48,2026-01-07 02:03:40.287697,how to change my address?,Account_Assistance
user_41,2025-12-23 18:16:51.287703,!!,Fallback
user_29,2025-12-25 15:44:33.287709,update payment method,Account_Assistance
user_22,2025-12-28 01:59:54.287714,alexa is not responding,Technical_Issue
user_36,2026-01-05 15:40:12.287720,asdfghjkl,Fallback
user_5,2026-01-02 23:54:43.287726,my item is damaged,Refund_Request
user_26,2026-01-02 03:54:34.287732,kindle not syncing,Technical_Issue
user_14,2025-12-22 03:15:56.287738,kindle not syncing,Technical_Issue
user_6,2026-01-15 07:08:12.287743,feedback about your service,Feedback
user_7,2026-01-05 11:06:13.287749,hi,Greeting
user_37,2025-12-26 00:19:30.287756,can I speak to a purple elephant?,Fallback
user_4,2026-01-20 02:51:48.287762,issue with my recent purchase,Refund_Request
user_47,2026-01-20 04:51:36.287767,order arrived yet?,Check_Order
user_41,2025-12-25 16:12:13.287773,how to change my address?,Account_Assistance
user_38,2026-01-04 05:08:16.287779,good morning,Greeting
user_32,2026-01-10 07:27:29.287785,has my order shipped?,Check_Order
user_11,2026-01-13 06:49:41.287790,where is my package?,Check_Order
user_24,2026-01-19 03:53:00.287796,good morning,Greeting
user_37,2025-12-31 03:22:53.287802,connect me to support,Customer_Service_Contact
user_20,2026-01-14 02:21:22.287808,where is my package?,Check_Order
user_17,2026-01-01 14:04:44.287813,alexa is not responding,Technical_Issue
user_44,2025-12-31 09:48:44.287819,can I speak to a purple elephant?,Fallback
user_20,2026-01-18 00:23:11.287825,alexa is not responding,Technical_Issue
user_40,2026-01-13 20:53:24.287831,who are you?,Fallback
user_9,2026-01-05 13:24:55.287837,hi,Greeting
user_46,2026-01-13 20:36:12.287843,where is my package?,Check_Order
user_29,2026-01-02 13:03:13.287848,feedback about your service,Feedback
user_20,2025-12-27 14:39:47.287854,hey there,Greeting
user_45,2025-12-20 20:00:07.287860,wrong size,Refund_Request
user_43,2025-12-22 22:44:35.287866,account suspended,Account_Assistance
user_13,2025-12-26 09:28:41.287872,feedback about your service,Feedback
user_40,2026-01-14 01:03:34.287878,feedback about your service,Feedback
user_7,2026-01-10 03:35:37.287883,wrong size,Refund_Request
user_1,2025-12-22 14:34:20.287890,can't log into my account,Account_Assistance
user_41,2026-01-18 05:42:42.287895,I need to speak with someone,Customer_Service_Contact
user_2,2026-01-08 11:59:08.287901,feedback about your service,Feedback
user_5,2026-01-19 06:59:11.287907,delivery date for my order,Check_Order
user_31,2026-01-04 01:08:15.287913,account suspended,Account_Assistance
user_38,2025-12-26 12:41:02.287918,price of item Y,Product_Inquiry
user_39,2026-01-17 12:52:32.287924,asdfghjkl,Fallback
user_38,2025-12-23 03:53:46.287930,manage my subscriptions,Account_Assistance
user_32,2026-01-09 20:47:10.287936,cancel an order,Refund_Request
user_7,2026-01-08 10:45:21.287941,is product Z in stock?,Product_Inquiry
user_16,2025-12-24 13:21:52.287947,can I speak to a purple elephant?,Fallback
user_5,2026-01-04 23:57:20.287953,can I track my recent purchase?,Check_Order
user_25,2026-01-01 17:15:37.287959,what?,Fallback
